Date,USDSGD,CNYSGD,EURSGD,MYRSGD,JPYSGD,REF_RATE,TARGET_RATE,USDSGD_RET,CNYSGD_RET,EURSGD_RET,MYRSGD_RET,JPYSGD_RET,IR_DIFF_LAGGED
2017-09-11,1.3424999713897705,0.20556125052842777,1.6133684389682514,0.32002381798666063,0.01240402413877742,1.16,0.0,0.23043468687306465,-0.48102671595572166,0.1354507719690019,0.17082080408987405,0.26645653986200857,-1.16
2017-09-12,1.3463499546051023,0.20616654354603905,1.6101582824688874,0.3202164088680252,0.012307235211112698,1.16,0.0,0.2863667331614479,0.29402603486686246,-0.19917052582257835,0.06016207014036037,-0.7833629298626368,-1.16
2017-09-13,1.3466999530792236,0.20607497850401987,1.6126211662863739,0.32113984490369846,0.01221762540991402,1.16,0.0,0.025992721122121913,-0.044423008662306585,0.15284224912719613,0.2879637232382908,-0.7307703098949488,-1.16
2017-09-14,1.350100040435791,0.2063678918669608,1.6053507220303231,0.3211465370268477,0.012216441640429943,1.16,0.0,0.2521573098721916,0.14203829583632027,-0.45186576385365845,0.0020838440103107506,-0.009689500176658776,-1.16
2017-09-15,1.3459999561309814,0.20534569311613823,1.6046540607551663,0.321432825344712,0.01224538043310396,1.16,0.0,-0.30414951008853097,-0.4965592044942831,-0.043405622934321916,0.0891059855237592,0.23660384812958268,-1.16
2017-09-18,1.346400022506714,0.2055352838522927,1.60721963650866,0.3215667751422853,0.012108240685489415,1.16,0.0,0.029718198027874055,0.09228499747480542,0.15975574016700195,0.04166403817656212,-1.1262489184063686,-1.16
2017-09-19,1.347309947013855,0.2049732894008541,1.6112871055881328,0.32155368224687486,0.012083930548739415,1.16,0.0,0.06755920659952709,-0.27380417324051576,0.252755179394011,-0.004071677478714174,-0.20097530475650083,-1.16
2017-09-20,1.3467899560928345,0.20457672183205478,1.6151465014183373,0.3216599047350604,0.012070389509852885,1.16,0.0,-0.03860220082246696,-0.19366020357171615,0.23923614374460317,0.033028683255765044,-0.11212106382821069,-1.16
2017-09-21,1.3508000373840332,0.2054479925938631,1.6036851958166949,0.32192564476996244,0.012002204129455804,1.16,0.0,0.2973086536305165,0.4249851496781927,-0.7121437290222047,0.08258111146482343,-0.566499512018022,-1.16
2017-09-22,1.34961998462677,0.2047981719843777,1.612198738986237,0.32172107971387043,0.012001742457872347,1.16,0.0,-0.08739772500267515,-0.3167957236687168,0.5294695474741095,-0.06356439183119036,-0.0038466306516281197,-1.16
2017-09-25,1.3473199605941772,0.20399720955753617,1.606975056444952,0.3207904813762157,0.011982141845441727,1.16,0.0,-0.170565502897633,-0.3918652156851829,-0.32453588765564073,-0.28967540655952073,-0.16344822670404996,-1.16
2017-09-26,1.350600004196167,0.2040027167581556,1.6012236039557308,0.3212654627549233,0.012084716359183978,1.16,0.0,0.24315363397471337,0.0026996086344826657,-0.358547537704467,0.14795641086985278,0.8524181592157648,-1.16
2017-09-27,1.3557900190353394,0.20419755103506473,1.5979421347343674,0.32135341625184055,0.012064657646048284,1.16,0.0,0.38353830429344155,0.0954601488910676,-0.20514538102895213,0.027373455819543653,-0.16612205139788422,-1.16
2017-09-28,1.3593699932098389,0.2047089796180391,1.5972105761938167,0.32174438435355607,0.012044745577337495,1.16,0.0,0.2637027823718436,0.25014462294588286,-0.04579177394757495,0.12158901788013599,-0.16518097153844724,-1.16
2017-09-29,1.358309984207153,0.20379744815925113,1.6003274760288375,0.32187441984338716,0.012077408924940344,1.06,0.0,-0.0780083795920067,-0.44627595046788276,0.1949562927064552,0.0404076110742793,0.27081633659976645,-1.16
2017-10-02,1.359089970588684,0.2041349890731685,1.6047252476035399,0.3212219304523247,0.012065998727756915,1.16,0.0,0.057406816510407556,0.1654886741742146,0.2744275813163158,-0.20292126200340205,-0.09452019530183776,-1.06
2017-10-03,1.361780047416687,0.20472661776021808,1.5978832228544917,0.3216296601707649,0.012075730140588022,1.16,0.0,0.19773658327758456,0.2894031085773579,-0.4272789022806034,0.12685035832864286,0.08061902617867325,-1.16
2017-10-04,1.361899971961975,0.20476311278853554,1.5999013681646799,0.3223050378738807,0.012068445848558871,1.16,0.0,0.008806067123331297,0.017824636708322312,0.12622148369818648,0.2097659755919492,-0.060339953232922044,-1.16
2017-10-05,1.3617299795150757,0.2046544797452779,1.6010181716696792,0.32215043844875296,0.012069613492714602,1.16,0.0,-0.012482785851871797,-0.05306711181349309,0.06978017013035451,-0.047978311543109935,0.009674714442722327,-1.16
2017-10-06,1.364169955253601,0.20501809844176394,1.5977628997511175,0.3221180430333418,0.0120964932533298,1.16,0.0,0.17902171382416,0.17751678356511164,-0.20353209360909527,-0.010056495504464896,0.22245843720569577,-1.16
2017-10-09,1.3646299839019775,0.20520751343336302,1.6024118874096587,0.32272201007532075,0.012124547570088295,1.16,0.0,0.03371655401581649,0.0923467475344682,0.290546063148784,0.18732310925076984,0.23165254960476533,-1.16
2017-10-10,1.363019943237305,0.20572954545765337,1.6004085385668534,0.32322028474539477,0.01209874112752212,1.16,0.0,-0.11805333489760016,0.25406922729915643,-0.12509905880600855,0.15427841554928715,-0.2130714177719043,-1.16
2017-10-11,1.3556699752807615,0.20629849668661526,1.6017083428879457,0.321782585562167,0.012067025328679567,1.16,0.0,-0.5407005641404967,0.276171295341741,0.08118406920187302,-0.44579695081048376,-0.26248550493797373,-1.16
2017-10-12,1.3531399965286257,0.205347902983845,1.6055673236879926,0.32068727947199965,0.012034971799454557,1.16,0.0,-0.1867963802642046,-0.4618504586738844,0.2406392878825054,-0.34096763472887087,-0.2659825071917872,-1.16
