Equation,Parameter,Estimate,Std. Error,t-value,P-value
HKDPHP_RET,DXY_lr_lag1,0.17052608393270471,0.018436104361261252,9.249572501391432,3.892755265425504e-20
HKDPHP_RET,PSEI_lr_lag1,-0.037031848993375,0.007011185115058022,-5.281824454162702,1.3601452235369166e-7
HKDPHP_RET,VIX_diff_lag1,0.033129829992888694,0.00441227115156855,7.508566190704561,7.61020861675351e-14
HKDPHP_RET,DFF_diff_lag1,0.24555309298615344,0.18468136602312624,1.3296040541275003,0.1837387524972767
HKDPHP_RET,BSP_RRP_diff_lag1,0.26174206655811355,0.19072283867726572,1.3723687649229257,0.17003999979101223
HKDPHP_RET,CrudeOil_lr_lag1,-0.36192514961769245,0.2786860869067774,-1.2986839552516276,0.19414126788087022
SGDPHP_RET,USDPHP_RET.l1,-0.02957221467478334,0.22016989126828207,-0.13431543479643598,0.8931611692419206
SGDPHP_RET,CNYPHP_RET.l1,0.15464130599796244,0.03435832240459681,4.5008398307966555,6.997492786694572e-6
SGDPHP_RET,JPYPHP_RET.l1,0.05675969672843805,0.013892064391239717,4.085764011015562,4.495532904343564e-5
SGDPHP_RET,HKDPHP_RET.l1,-0.14456974232148767,0.22482504299873904,-0.6430322013651233,0.5202469540831935
SGDPHP_RET,SGDPHP_RET.l1,-0.34719774854832336,0.026536185629311464,-13.083935777296269,3.415785079113481e-38
SGDPHP_RET,const,0.001676286112358296,0.015084967520205364,0.11112295138276011,0.9115254662644681
SGDPHP_RET,trend,5.526615991405286e-6,7.727037190500648e-6,0.7152309294174896,0.47451590672024446
SGDPHP_RET,DXY_lr_lag1,-0.26178027323720354,0.01947002723617991,-13.445295687658513,3.499320239977412e-40
SGDPHP_RET,PSEI_lr_lag1,-0.036568193890752804,0.0074043823181493456,-4.938723085802608,8.24588010242463e-7
SGDPHP_RET,VIX_diff_lag1,-0.001469919873510477,0.0046597175743353985,-0.31545256768488317,0.7524375918667915
SGDPHP_RET,DFF_diff_lag1,0.2060221866291417,0.1950385589073106,1.0563151603629872,0.2908999687015009
SGDPHP_RET,BSP_RRP_diff_lag1,0.20233308458802457,0.20141884591468381,1.0045389927103843,0.3151910075241786
SGDPHP_RET,CrudeOil_lr_lag1,0.5557382975912516,0.29431519783652116,1.888241931359383,0.05907929996199143
