Date,CNYAUD,USDAUD,JPYAUD,KRWAUD,INRAUD,REF_RATE,TARGET_RATE,CNYAUD_RET,USDAUD_RET,JPYAUD_RET,KRWAUD_RET,INRAUD_RET,IR_DIFF_LAGGED
2011-07-20,0.14400471281196525,0.9307600445285584,0.011763011538434568,0.0008797353918039304,0.020977238380317023,0.06,0.0,-1.1412780551751667,-1.224793329441309,-1.3208842706347388,-1.3855984657919855,-0.9322285440121431,-0.06
2011-07-21,0.14402562034062666,0.9284899804951543,0.011789750443156763,0.0008859637218465213,0.02092607624175378,0.06,0.0,0.014517588109071543,-0.24419148913530156,0.22705546152602182,0.7054832645904354,-0.2441914891352904,-0.06
2011-07-22,0.14302100385064412,0.9226999976131213,0.011741575917655182,0.0008784272431141886,0.02082844274275309,0.06,0.0,-0.6999703233896597,-0.625543767079829,-0.4094507217032505,-0.8542919021030632,-0.46765561818757123,-0.06
2011-07-25,0.14324332760754913,0.9220000323138249,0.011763205723685052,0.0008931512047882652,0.02079246021708197,0.06,0.0,0.1553276305657474,-0.07588933935429626,0.18404605892931422,1.6622804065809251,-0.1729060740005779,-0.06
2011-07-26,0.14306486421451564,0.9219099517076408,0.011774072998416622,0.0008762569842226343,0.020805911151773188,0.06,0.0,-0.1246652532090542,-0.00977060778848409,0.09234096797743734,-1.9096479915181024,0.06467048933595354,-0.06
2011-07-27,0.14173359014095188,0.9124099865323777,0.011710475259624216,0.000870371023594193,0.020713053401479758,0.07,0.0,-0.9348953617046766,-1.0358116831346373,-0.5416147976252345,-0.6739824259097195,-0.4473035689484658,-0.06
2011-07-28,0.14065249133943725,0.9062099618831726,0.011628512233214837,0.0008611706926103035,0.02058164858067807,0.08,0.0,-0.7656921883479689,-0.6818410492956317,-0.7023729147592089,-1.0626850604142213,-0.6364267473931522,-0.07
2011-07-29,0.14109731884422805,0.9090900027071319,0.011695483898702806,0.0008666253600639961,0.02065644256710486,0.11,0.0,0.31576090439714405,0.31730769532223324,0.5742742295485005,0.6314038705025563,0.36274263118398814,-0.08
2011-08-01,0.14118872835186952,0.907659973754644,0.011755274421263446,0.0008600965903134087,0.02053390023137222,0.17,0.0,0.06476374708878273,-0.15742719321383866,0.5099251060685204,-0.756207548231035,-0.5950069309488687,-0.11
2011-08-02,0.1417626436268033,0.9109100502430166,0.011759747753800507,0.0008701853341168307,0.020672901434786523,0.16,0.0,0.4056640955408,0.3574324777905056,0.03804659470631245,1.1661519423251883,0.6746543047421562,-0.17
2011-08-03,0.14470384873046338,0.9303300092083574,0.012029870307390349,0.0008806607229343539,0.02101823190803942,0.12,0.0,2.053509599094609,2.1095216813633253,2.271025642924027,1.1966230581155457,1.6566513956579054,-0.16
2011-08-04,0.14459156750402108,0.9292900109672202,0.012051172539314007,0.0008792600903594563,0.02097104724859726,0.09,0.0,-0.07762392750059205,-0.11185062951341528,0.17692122069458358,-0.15916998765253576,-0.22474631739833267,-0.12
2011-08-05,0.14917390019399027,0.9588600222986237,0.012093076191538425,0.0008983136597031458,0.021516954159469328,0.08,0.0,3.119974878389425,3.1324236560994825,0.34711118796823187,2.1438546903683466,2.5698405944873404,-0.09
2011-08-08,0.1497675225996844,0.9631099814154371,0.012307485987403239,0.0009116043364083645,0.02153018900187067,0.11,0.0,0.39715017103014266,0.44225102738701266,1.7574620858748118,1.468675999006161,0.06148999374358268,-0.08
2011-08-09,0.15364885584480195,0.987240012098345,0.012724624911362854,0.0009076400261254994,0.02193720525853266,0.1,0.0,2.5585599543726456,2.4745570869263305,3.33313913801269,-0.4358201283259278,1.8727975754040993,-0.11
2011-08-10,0.1499813004657514,0.9630299308627229,0.01249876564204435,0.0008944273934577278,0.02130455831952448,0.1,0.0,-2.415921928223886,-2.482869105409529,-1.7909194692584962,-1.4664123317335616,-2.9263010196421417,-0.1
2011-08-11,0.154059950856224,0.9871699566220382,0.012860640733779552,0.0009103374533354876,0.021816874395626417,0.09,0.0,2.6831195170171935,2.4757727599244355,2.8541650550044553,1.7631628932718593,2.3762669783421737,-0.1
2011-08-12,0.15155902698182866,0.9672799862736452,0.01258495938839963,0.0008975410875929234,0.021356059477519493,0.1,0.0,-1.6366651823435978,-2.0354225093385963,-2.166913974834259,-1.4156459250055125,-2.1348209530672304,-0.09
2011-08-15,0.15092692485242332,0.9631099814154371,0.012537229695931996,0.0009127274696571343,0.02121714688152676,0.1,0.0,-0.4179387807362619,-0.43203823210265935,-0.3799808188397123,1.6778436844749833,-0.6525845754072014,-0.1
2011-08-16,0.14944908963682202,0.9535300333370313,0.012409293060661372,0.0009100305295876569,0.021080405838899634,0.09,0.0,-0.9839981014501035,-0.9996689816128254,-1.0256961112439258,-0.2959188261569027,-0.6465694122045533,-0.1
2011-08-17,0.149767785394722,0.9545599579059101,0.01243661548886648,0.0008927796497368747,0.02109384996944962,0.09,0.0,0.21301998985177195,0.10795346903215589,0.21993511860668022,-1.9138350331801488,0.0637551546444344,-0.09
2011-08-18,0.1487675909080887,0.9488099394775974,0.012395129473283776,0.000888481990622851,0.02094364413122155,0.09,0.0,-0.6700701547413572,-0.6041953199256471,-0.33413724443784276,-0.48254196416483724,-0.7146309773632791,-0.09
2011-08-19,0.15083524246473,0.9634600824739237,0.012571735185739535,0.0008955754217741728,0.021077665757407636,0.09,0.0,1.3802835977071537,1.5322553256449207,1.4147443861813591,0.7952063068822287,0.6378767390696057,-0.09
2011-08-22,0.1508821688377376,0.9629299969178831,0.012540436510328712,0.0008840709145110248,0.02108775233530788,0.09,0.0,0.031106175267385943,-0.05503408422733437,-0.24927108651614763,-1.2929161585653781,0.04784289376883031,-0.09
2011-08-23,0.15026873933577695,0.9617199460797161,0.012517179520406341,0.0008867864878558931,0.021085725349923496,0.08,0.0,-0.40739066940922153,-0.12574245015363572,-0.1856281664788264,0.30669612017908937,-0.009612607246069077,-0.09
2011-08-24,0.1485863993589888,0.9502100210666727,0.01239512099757871,0.0008829307416637478,0.020865393104168527,0.08,0.0,-1.1258683755147527,-1.2040256973690988,-0.9799135125283073,-0.4357478391215028,-1.0504333607513685,-0.08
2011-08-25,0.14961177705169737,0.9557200335184137,0.012403410848460137,0.0008827191988731294,0.020803658295339374,0.08,0.0,0.6877183129506534,0.578198322552724,0.06685759658424413,-0.023962030839051737,-0.2963103402881162,-0.08
2011-08-26,0.14987324569649835,0.9576900199903873,0.012367663849485105,0.0008799871147866089,0.020814824058408572,0.09,0.0,0.17461221187971737,0.20591374697028256,-0.28861907870843184,-0.3099876880361313,0.05365771506125274,-0.08
2011-08-29,0.14824032110602997,0.945209964954948,0.012326360485321007,0.000877958374874121,0.020479924760144277,0.09,0.0,-1.0955160070771663,-1.311706771161466,-0.33452143823185354,-0.2308081593032211,-1.622030163302965,-0.09
2011-08-30,0.1470892148387127,0.936369967473883,0.012171239699701044,0.0008733165548557106,0.02042246452859522,0.08,0.0,-0.7795441745564975,-0.9396425175418088,-1.2664331012048837,-0.5301087578874067,-0.2809628989776292,-0.09
2011-08-31,0.14680813900595502,0.9366799759080324,0.012212096581331384,0.0008739316413842032,0.020389203393738405,0.08,0.0,-0.19127488885236082,0.03310199368421674,0.33512165354967416,0.0704063172278222,-0.16299820082944166,-0.08
2011-09-01,0.14668079149191435,0.9355300562414893,0.012192493357384319,0.0008777725777645902,0.02045321429627128,0.08,0.0,-0.08678182295792403,-0.12284089833918656,-0.16065197745559584,0.43853779582089236,0.3134533093962132,-0.08
2011-09-02,0.14614793878970045,0.9325700035496902,0.012133359304502673,0.0008777129445173555,0.020406345470041228,0.08,0.0,-0.363935116497634,-0.3169054198760106,-0.4861837337017883,-0.006793932106044929,-0.22941435029824728,-0.08
2011-09-05,0.14792748887190638,0.9425199976045457,0.012256118077139309,0.0008826746155695816,0.020606935567498662,0.08,0.0,1.2102825580763026,1.061291718356664,1.0066620729883107,0.5637036188272404,0.9781792229732335,-0.08
