Date,USDMYR,CNYMYR,EURMYR,JPYMYR,SGDMYR,REF_RATE,TARGET_RATE,USDMYR_RET,CNYMYR_RET,EURMYR_RET,JPYMYR_RET,SGDMYR_RET,IR_DIFF_LAGGED
2012-01-17,3.1198999881744385,0.49474319179423587,3.951991911583292,0.040613121590322564,2.416840969506099,0.09,0.0,-0.6007757892876315,-0.7610647902335571,-0.44255567986820976,-0.483682215354881,-0.40729531407109104,-0.09
2012-01-18,3.106300115585327,0.49173660894876237,3.959289476782317,0.04043608601829525,2.4204055222421577,0.09,0.0,-0.4368601712622282,-0.6095598009538293,0.18448508934375685,-0.4368601712622171,0.14737943941223355,-0.09
2012-01-19,3.09689998626709,0.4907146331663182,3.9844836857537302,0.04034155373025095,2.425402933299524,0.1,0.0,-0.30307377995870166,-0.20804618229479313,0.6343155306991963,-0.23405569039695184,0.20625713438246948,-0.09
2012-01-20,3.107599973678589,0.49270674718686713,4.028989928738326,0.04031655293016056,2.4428897434465346,0.09,0.0,0.3449108901004547,0.40514001123031035,1.1107967093629634,-0.0619920350878216,0.7183990986380595,-0.1
2012-01-23,3.1061999797821045,0.4911298535666809,4.002267797884258,0.04036122682866309,2.440254549156343,0.09,0.0,-0.04506079792264897,-0.3205603388430086,-0.6654556577616166,0.11074648608835601,-0.10793023462335938,-0.09
2012-01-24,3.096400022506714,0.49040227413710524,4.033661616509988,0.040212987305282,2.443323968405385,0.09,0.0,-0.3159954027797049,-0.14825384565683258,0.7813403209708436,-0.36795814201751376,0.12570370854818405,-0.09
2012-01-25,3.0425000190734863,0.48125593265146577,3.967736355204181,0.0391635686500193,2.4011522969027315,0.08,0.0,-1.7560601468529744,-1.8826808808351605,-1.6478808671203702,-2.644306725525682,-1.7410648533150583,-0.09
2012-01-26,3.0508999824523926,0.48323434188276776,3.9989253502797624,0.039229781588583826,2.420772740639735,0.08,0.0,0.2757071158232899,0.41025027589059554,0.7829918119287351,0.16892492566838027,0.8138057671706974,-0.08
2012-01-27,3.0329999923706055,0.4788443226078099,3.9710387521035955,0.03915569362533842,2.4100119512406053,0.09,0.0,-0.5884397115813043,-0.9126176281165006,-0.699795171508506,-0.1890349841102892,-0.4455097001303694,-0.08
2012-01-30,3.0497000217437744,0.4822422641953874,4.028027266563527,0.039744825261794355,2.4374201706468837,0.09,0.0,0.5491006064681001,0.7071070998859328,1.424903321096339,1.4933807626822864,1.1308466338447347,-0.09
2012-01-31,3.033099889755249,0.48040735227666403,3.9853623972836374,0.0397210563843824,2.4125834261159373,0.11,0.0,-0.5458069783843661,-0.38122160120466675,-1.0648495634926536,-0.05982159293625294,-1.0242038443164838,-0.09
2012-02-01,3.047600030899048,0.48308658903607105,3.9853539421268067,0.03995804595562547,2.422382919823061,0.11,0.0,0.4769243283710953,0.5561516373604861,-0.0002121555070030333,0.5948617972005238,0.4053598897890878,-0.11
2012-02-02,3.0220000743865967,0.4791653655991032,3.9799817583333947,0.03966451791939813,2.4170973120462826,0.11,0.0,-0.8435517289961314,-0.8150142223357032,-0.13488909469721086,-0.7373019698375703,-0.21843708932419859,-0.11
2012-02-03,2.996299982070923,0.4752863012150641,3.936284888627199,0.03933184523585976,2.4020361335824427,0.11,0.0,-0.8540700296012517,-0.8128406867931071,-1.103987914119099,-0.8422530781706749,-0.6250595743137218,-0.11
2012-02-06,3.007999897003174,0.477111951681871,3.9486463873165007,0.03929406276432815,2.418978617486675,0.11,0.0,0.3897183677069582,0.3833801033077056,0.31354766158564323,-0.09610693319988615,0.7028625518809064,-0.11
2012-02-07,3.007999897003174,0.4765903291547596,3.9469886649001182,0.03929457579471777,2.409098095706556,0.11,0.0,0.0,-0.1093889759114488,-0.04199085772778022,0.001305609561482884,-0.40929488740366554,-0.11
2012-02-08,3.00570011138916,0.47645243725889336,3.982114580994107,0.039141816324440123,2.4134416471749485,0.11,0.0,-0.07648488361300328,-0.02893718974382297,0.8860055112940773,-0.38951221311689455,0.18013548356252362,-0.11
2012-02-09,3.0053999423980713,0.4771688012947828,3.9817169008291273,0.03900077910219072,2.4116514409047816,0.11,0.0,-0.009987156715153812,0.15024081714577164,-0.009987156715153812,-0.3609743818341723,-0.07420401304728008,-0.11
2012-02-10,3.024899959564209,0.4804936764959067,4.016598218380807,0.03896459980568789,2.423409563159384,0.12,0.0,0.6467368274151533,0.694375865716782,0.8722221660632937,-0.09280862764095782,0.4863700964055581,-0.11
2012-02-13,3.027100086212158,0.4810036091055263,4.006909807799445,0.03895881859852043,2.4112635216708522,0.12,0.0,0.07270742657732812,0.1060705350012282,-0.2415007315634487,-0.014838176498057416,-0.5024566016736689,-0.12
2012-02-14,3.0473999977111816,0.48409078410778184,4.00973680085383,0.03931621614917666,2.4214541487533037,0.12,0.0,0.6683673318774771,0.6397686182610314,0.07052807263617596,0.9131903562085769,0.4217354657024141,-0.12
2012-02-15,3.038100004196167,0.4824525036978882,3.9901497324622426,0.03877105641312139,2.4039404527066535,0.12,0.0,-0.3056445896651527,-0.3389981596242486,-0.4896846336514611,-1.3963058907934411,-0.725900134489702,-0.12
2012-02-16,3.0459001064300537,0.4836220620525038,3.977357300236747,0.038811161775529575,2.4087782155750777,0.11,0.0,0.2564137529826629,0.24212601541478704,-0.32111532918462826,0.10338803637472473,0.20104081835170315,-0.12
2012-02-17,3.0418999195098877,0.4827569832343047,3.9930426551673577,0.03859103846647849,2.4117180664787683,0.09,0.0,-0.1314165208720704,-0.17903514226476203,0.39359066715161545,-0.56877944502023,0.12197297108653686,-0.11
2012-02-20,3.0244998931884766,0.48025468466750876,4.000555475395458,0.03790670046671568,2.419599914550781,0.09,0.0,-0.5736540477099727,-0.5196830488848869,0.1879709817152073,-1.789219565634446,0.32628177633761934,-0.09
2012-02-21,3.0218000411987305,0.47969649678267,3.9902282864520657,0.037968990737282556,2.408422825650006,0.1,0.0,-0.08930592919584944,-0.11629506969422765,-0.258477641265226,0.16419035812973587,-0.46300978557495776,-0.09
2012-02-22,3.022200107574463,0.4799580806168895,4.00238369971197,0.037857948618996475,2.405769736082325,0.08,0.0,0.013238463483433854,0.05451624925438306,0.30416646404177006,-0.29288323808372274,-0.11021951458106072,-0.1
2012-02-23,3.009500026702881,0.4780095125072907,3.989315827539997,0.03748754450005037,2.3928219651732805,0.08,0.0,-0.42111177137239486,-0.4068135103816081,-0.32703641508184755,-0.9832229841659931,-0.5396500947544075,-0.08
2012-02-24,3.0095999240875244,0.47782803761581577,4.024928673692585,0.03765294523453969,2.4046019966126884,0.09,0.0,0.003319346263366034,-0.037971911363401493,0.8887445487476967,0.4402446729235783,0.491099190272823,-0.08
2012-02-27,3.014899969100952,0.4787683211488919,4.0601979932943095,0.03700580506260812,2.4026937044135845,0.1,0.0,0.17594975432757606,0.19658946582647316,0.8724549354043795,-1.7336383945639917,-0.07939150899037267,-0.09
