Date,EURMYR
2021-04-01,4.860427354508829
2021-04-02,4.8816112041165525
2021-04-05,4.869078879605922
2021-04-06,4.893038799319186
2021-04-07,4.902869258746989
2021-04-08,4.902636440967399
2021-04-09,4.927135994769515
2021-04-12,4.9178867800442845
2021-04-13,4.921362816353508
2021-04-14,4.9394518706767485
2021-04-15,4.946661606370299
2021-04-16,4.9359513309913154
2021-04-19,4.935604320612356
2021-04-20,4.963863977587039
2021-04-21,4.948321449778405
2021-04-22,4.957747816356289
2021-04-23,4.937823358417859
2021-04-26,4.96530210307975
2021-04-27,4.949256818844276
2021-04-28,4.950979680670059
2021-04-29,4.975728276863833
2021-04-30,4.972107557038385
2021-05-03,4.922962394558169
2021-05-04,4.947533923263109
2021-05-05,4.950197783297995
2021-05-06,4.941280694540637
2021-05-07,4.9716391164676
2021-05-10,5.002312618870803
2021-05-11,4.983852643281807
2021-05-12,4.998676420172501
2021-05-13,4.979968097656524
2021-05-14,4.979468733739736
2021-05-17,5.016281663951304
2021-05-18,5.017749296847569
2021-05-19,5.038731877047667
2021-05-20,5.033475385569091
2021-05-21,5.0594767110096655
2021-05-24,5.042032430736526
2021-05-25,5.062966437288026
2021-05-26,5.071124361527154
2021-05-27,5.04773416929595
2021-05-28,5.044322253990231
2021-05-31,5.035717046152399
2021-06-01,5.042387258204769
2021-06-02,5.038608280997323
2021-06-03,5.033515733650518
2021-06-04,4.999405661224046
2021-06-07,5.020078210861982
2021-06-08,5.031093510464075
2021-06-09,5.0121724035869875
2021-06-10,5.014113246106035
2021-06-11,5.012659548237025
2021-06-14,4.977898979622353
2021-06-15,4.985271458573152
2021-06-16,4.989692011437455
2021-06-17,4.936183428984577
2021-06-18,4.92917481587574
2021-06-21,4.911541327253872
2021-06-22,4.935374443646253
2021-06-23,4.964487955433299
2021-06-24,4.9618137955221755
2021-06-25,4.957051291434482
2021-06-28,4.9601733346596575
2021-06-29,4.942741218360993
2021-06-30,4.938704973827271
2021-07-01,4.919374285868798
2021-07-02,4.92329584034519
2021-07-05,4.933367818540091
2021-07-06,4.927631029754593
2021-07-07,4.901264848209337
2021-07-08,4.906053744607561
2021-07-09,4.9512806973750685
2021-07-12,4.972395526606306
2021-07-13,4.969150411169494
2021-07-14,4.934469891985884
2021-07-15,4.96763554782865
2021-07-16,4.9585995924981034
2021-07-19,4.970151799836231
2021-07-20,4.979360872946927
2021-07-21,4.975253428303404
2021-07-22,4.990093914298143
2021-07-23,4.968684357303914
2021-07-26,4.9730978581845875
2021-07-27,4.9946865366607085
2021-07-28,5.00118235339761
2021-07-29,5.012023856318137
2021-07-30,5.037873612990552
2021-08-02,5.006704682936288
2021-08-03,5.014071083968247
2021-08-04,5.021958520799785
2021-08-05,4.994791593307809
2021-08-06,4.98875638782647
2021-08-09,4.957113903934669
2021-08-10,4.960676048663117
2021-08-11,4.954279070062057
2021-08-12,4.969758947966284
2021-08-13,4.9650258330404995
2021-08-16,4.995046278954021
2021-08-17,4.988808840436263
2021-08-18,4.959659775384296
2021-08-19,4.956931741634548
2021-08-20,4.946205802660188
2021-08-23,4.953912000075036
2021-08-24,4.960891040623778
2021-08-25,4.956278826143716
2021-08-26,4.947603745709557
2021-08-27,4.929226389303437
2021-08-30,4.940833956003189
2021-08-31,4.90102410912516
2021-09-01,4.907171622944986
2021-09-02,4.915515312115076
2021-09-03,4.935272913863571
2021-09-06,4.925534519730832
2021-09-07,4.922812106729907
2021-09-08,4.918634176876367
2021-09-09,4.907290914097473
2021-09-10,4.902436483259407
2021-09-13,4.883061486635256
2021-09-14,4.896054820538609
2021-09-15,4.910872012253094
2021-09-16,4.912390351016938
2021-09-17,4.8899739159762134
2021-09-20,4.890794432380119
2021-09-21,4.91495588696597
2021-09-22,4.904868224865595
2021-09-23,4.89831686465709
2021-09-24,4.907428032088603
2021-09-27,4.907270523373086
2021-09-28,4.898033000528812
2021-09-29,4.8848891612490775
2021-09-30,4.852138042483091
2021-10-01,4.842760677832757
2021-10-04,4.848351355399927
2021-10-05,4.847217130038416
2021-10-06,4.844264173633064
2021-10-07,4.833602933940142
2021-10-08,4.833135166700458
2021-10-11,4.832870730641048
2021-10-12,4.815024356825347
2021-10-13,4.801615009242141
2021-10-14,4.822526153442084
2021-10-15,4.813377005304574
2021-10-18,4.819144322827071
2021-10-19,4.842399829217925
2021-10-20,4.849947428961343
2021-10-21,4.843240314420143
2021-10-22,4.831490961937789
2021-10-25,4.827726773915629
2021-10-26,4.8176965273532915
2021-10-27,4.807469032338645
2021-10-28,4.8175297224697715
2021-10-29,4.846360443827166
2021-11-01,4.783311838900772
2021-11-02,4.8138268206079715
2021-11-03,4.800833591782975
2021-11-04,4.8216981793668765
2021-11-05,4.797781190788442
2021-11-08,4.81032843279354
2021-11-09,4.813377005304574
2021-11-10,4.808673233324612
2021-11-11,4.767811831418271
2021-11-12,4.766975979208155
2021-11-15,4.74942811366077
2021-11-16,4.727318194290717
2021-11-17,4.714706616177864
2021-11-18,4.722631409204041
2021-11-19,4.751997423523449
2021-11-22,4.714386021497717
2021-11-23,4.702589477589356
2021-11-24,4.714997481427417
2021-11-25,4.714212300393228
2021-11-26,4.738311274527405
2021-11-29,4.784921358535939
2021-11-30,4.783900185850143
2021-12-01,4.761554154277746
2021-12-02,4.774005986122461
2021-12-03,4.77969853826778
2021-12-06,4.78079973521335
2021-12-07,4.774266461203922
2021-12-08,4.76939556371326
2021-12-09,4.785568428850183
2021-12-10,4.760130306547126
2021-12-13,4.762282097575508
2021-12-14,4.7646992024929204
2021-12-15,4.764639765798506
2021-12-16,4.773733026219418
2021-12-17,4.764873079267829
2021-12-20,4.740274564214417
2021-12-21,4.7647508588789265
2021-12-22,4.748681953671735
2021-12-23,4.770590154496233
2021-12-24,4.755216031912596
2021-12-27,4.74769573326455
2021-12-28,4.737086788609304
2021-12-29,4.7278798247617715
2021-12-30,4.747975050093771
2021-12-31,4.724235639567951
2022-01-03,4.7484193914834805
2022-01-04,4.713036110799749
2022-01-05,4.7210688696420675
2022-01-06,4.74261777106841
2022-01-07,4.757116734462954
2022-01-10,4.776610736454131
2022-01-11,4.7565091704025235
2022-01-12,4.762554432820195
2022-01-13,4.786613229626369
2022-01-14,4.783345902936276
2022-01-17,4.763969492997262
2022-01-18,4.770761636655834
2022-01-19,4.736925800865549
2022-01-20,4.754018623567163
2022-01-21,4.7370682059749925
2022-01-24,4.746404832078156
2022-01-25,4.740847230792895
2022-01-26,4.734343343883836
2022-01-27,4.711041346751415
2022-01-28,4.676179024597673
2022-01-31,4.670614768438668
2022-02-01,4.698483989684519
2022-02-02,4.71702333263238
2022-02-03,4.724507814377489
2022-02-04,4.782434625263932
2022-02-07,4.785960497308338
2022-02-08,4.787160815446896
2022-02-09,4.776714520757594
2022-02-10,4.777622711852075
2022-02-11,4.773973020106155
2022-02-14,4.75968619769975
2022-02-15,4.735093215174004
2022-02-16,4.751456571859478
2022-02-17,4.758843945784292
2022-02-18,4.756871063638812
2022-02-21,4.735120763881241
2022-02-22,4.724044319068298
2022-02-23,4.738976646879223
2022-02-24,4.730302629555808
2022-02-25,4.698411288466275
2022-02-28,4.694365745181358
2022-03-01,4.706199330945537
2022-03-02,4.665182356463049
2022-03-03,4.659406272113415
2022-03-04,4.63036774035163
2022-03-07,4.541203888744519
2022-03-08,4.53572482206738
2022-03-09,4.5554609812086255
2022-03-10,4.634397346193339
2022-03-11,4.610436877928123
2022-03-14,4.582722655701616
2022-03-15,4.598876895232479
2022-03-16,4.612617247457592
2022-03-17,4.618199213630419
2022-03-18,4.656248217026075
2022-03-21,4.628177831369385
2022-03-22,4.629986566432876
2022-03-23,4.649033809519551
2022-03-24,4.646862700587008
2022-03-25,4.650446019722949
2022-03-28,4.6211799992106535
2022-03-29,4.632805720762917
2022-03-30,4.671746428275128
2022-03-31,4.690761091098125
2022-04-01,4.653712098451592
2022-04-04,4.64869656000883
2022-04-05,4.626326815475295
2022-04-06,4.590517714395162
2022-04-07,4.5914251400120065
2022-04-08,4.580399353608129
2022-04-11,4.592358814603585
2022-04-12,4.599201551533611
2022-04-13,4.580000046829241
2022-04-14,4.608159337265079
2022-04-15,4.577278120891549
2022-04-18,4.5780969940831255
2022-04-19,4.584415945641354
2022-04-20,4.590889002214453
2022-04-21,4.642659351623195
2022-04-22,4.6466648374089345
2022-04-25,4.6730745221043435
2022-04-26,4.666038074663561
2022-04-27,4.600704685577739
2022-04-28,4.599381461504208
2022-04-29,4.581407325523742
2022-05-02,4.584198179785744
2022-05-03,4.57354239332642
2022-05-04,4.582017491443253
2022-05-05,4.622902472913211
2022-05-06,4.582151945044188
2022-05-09,4.599934671624226
2022-05-10,4.628876271953118
2022-05-11,4.612913262578672
2022-05-12,4.598160192866203
2022-05-13,4.557674001503983
2022-05-16,4.571598258499762
2022-05-17,4.588444358697416
2022-05-18,4.622598113583479
2022-05-19,4.601198134601361
2022-05-20,4.654754644193531
2022-05-23,4.636451072332136
2022-05-24,4.686214897157697
2022-05-25,4.716555593464022
2022-05-26,4.694629890263855
2022-05-27,4.717669928739269
2022-05-30,4.696621980021291
2022-05-31,4.70135723844578
2022-06-01,4.69724431840973
2022-06-02,4.667057133803382
2022-06-03,4.718644462650445
2022-06-06,4.707125762952273
2022-06-07,4.692461486411048
2022-06-08,4.699903936239991
2022-06-09,4.706657850230158
2022-06-10,4.6628928005696935
2022-06-13,4.61506972796883
2022-06-14,4.599329039749421
2022-06-15,4.614742082142584
2022-06-16,4.612231531842781
2022-06-17,4.640616183727786
2022-06-20,4.615699081476805
2022-06-21,4.628090812245091
2022-06-22,4.630146447550487
2022-06-23,4.65138392546578
2022-06-24,4.6330583967110215
2022-06-27,4.648570215198333
2022-06-28,4.657179574986969
2022-06-29,4.624571943501223
2022-06-30,4.593679382436221
2022-07-01,4.615417195447833
2022-07-04,4.595632422182234
2022-07-05,4.601556866111821
2022-07-06,4.530814092686342
2022-07-07,4.504430937202301
2022-07-08,4.500660961573544
2022-07-11,4.497997379291689
2022-07-12,4.445527498846502
2022-07-13,4.449182487611665
2022-07-14,4.449003809447959
2022-07-15,4.452899634721803
2022-07-18,4.489327942469345
2022-07-19,4.515111409830297
2022-07-20,4.550384427239351
2022-07-21,4.5308285890660045
2022-07-22,4.5529811672315645
2022-07-25,4.538592902552637
2022-07-26,4.551125072397099
2022-07-27,4.511198378933955
2022-07-28,4.549259909377156
2022-07-29,4.53558607330649
2022-08-01,4.540628619194422
2022-08-02,4.566303593895782
2022-08-03,4.522327638741444
2022-08-04,4.525231189121087
2022-08-05,4.566415965208478
2022-08-08,4.529597198960005
2022-08-09,4.544573832136848
2022-08-10,4.545686676977766
2022-08-11,4.588998711794602
2022-08-12,4.583720123580974
2022-08-15,4.555692156657187
2022-08-16,4.529194966547038
2022-08-17,4.54018445780531
2022-08-18,4.545963545864652
2022-08-19,4.512203623915411
2022-08-22,4.4897591771273255
2022-08-23,4.455366565123313
2022-08-24,4.4754417237811595
2022-08-25,4.47263452247239
2022-08-26,4.457163326746723
2022-08-29,4.437619943577147
2022-08-30,4.485779633265338
2022-08-31,4.485212966861582
2022-09-01,4.490969583884123
2022-09-02,4.457150343498455
2022-09-05,4.440910198980163
2022-09-06,4.4683521378574085
2022-09-07,4.4520987208593965
2022-09-08,4.49706636133655
2022-09-09,4.499399545857557
2022-09-12,4.527600819498957
2022-09-13,4.559313913956032
2022-09-14,4.494410314457127
2022-09-15,4.517272167108217
2022-09-16,4.527202801502568
2022-09-19,4.5426296360572
2022-09-20,4.560955161251286
2022-09-21,4.5426900508758195
2022-09-22,4.472975539912511
2022-09-23,4.492667900013259
2022-09-26,4.434108939222597
2022-09-27,4.404773256116812
2022-09-28,4.422404923106171
2022-09-29,4.4929418288742795
2022-09-30,4.551575632501567
2022-10-03,4.538421506357935
2022-10-04,4.567487686122149
2022-10-05,4.630230330974825
2022-10-06,4.587801594799117
2022-10-07,4.5372227915521535
2022-10-10,4.524347166451264
2022-10-11,4.513234439554765
2022-10-12,4.530948371474807
2022-10-13,4.543336498981745
2022-10-14,4.573378586538354
2022-10-17,4.577019136655565
2022-10-18,4.642083555744875
2022-10-19,4.650818857857757
2022-10-20,4.607826479638021
2022-10-21,4.622486048773965
2022-10-24,4.669243512727718
2022-10-25,4.681753460101845
2022-10-26,4.715335852078056
2022-10-27,4.754311853689217
2022-10-28,4.697825825314794
2022-10-31,4.698761049261037
