Pair,Parameter,Estimate,Std. Error,t-value,P-value,ModelGroup,Equation
,HKDPHP_RET.l1,-0.1445697423214876,0.224825042998739,-0.6430322013651233,0.5202469540831935,varx,SGDPHP_RET
,SGDPHP_RET.l1,-0.3471977485483233,0.0265361856293114,-13.083935777296269,3.415785079113481e-38,varx,SGDPHP_RET
,const,0.0016762861123582,0.0150849675202053,0.1111229513827601,0.911525466264468,varx,SGDPHP_RET
,trend,5.526615991405286e-06,7.727037190500648e-06,0.7152309294174896,0.4745159067202444,varx,SGDPHP_RET
,DXY_lr_lag1,-0.2617802732372035,0.0194700272361799,-13.445295687658511,3.499320239977412e-40,varx,SGDPHP_RET
,PSEI_lr_lag1,-0.0365681938907528,0.0074043823181493,-4.938723085802608,8.24588010242463e-07,varx,SGDPHP_RET
,VIX_diff_lag1,-0.0014699198735104,0.0046597175743353,-0.3154525676848831,0.7524375918667915,varx,SGDPHP_RET
,DFF_diff_lag1,0.2060221866291417,0.1950385589073106,1.0563151603629872,0.2908999687015009,varx,SGDPHP_RET
,BSP_RRP_diff_lag1,0.2023330845880245,0.2014188459146838,1.0045389927103845,0.3151910075241786,varx,SGDPHP_RET
,CrudeOil_lr_lag1,0.5557382975912516,0.2943151978365211,1.888241931359383,0.0590792999619914,varx,SGDPHP_RET
USDPHP_RET,coefs_L0_mean,-0.0208195016647299,0.0164782992721966,-1.2634496631492849,0.2064276258037478,hybrid_arima_mlp,
USDPHP_RET,coefs_L1_mean,0.0329254800696729,0.0148377200050999,2.2190390476674278,0.0264840681440741,hybrid_arima_mlp,
USDPHP_RET,intercepts_L0_mean,0.0002045596870645,0.0143428553026469,0.0142621314060641,0.988620851317324,hybrid_arima_mlp,
USDPHP_RET,intercepts_L1_mean,-0.188484929104425,0.001,-188.48492910442505,0.0,hybrid_arima_mlp,
CNYPHP_RET,coefs_L0_mean,-0.0217590772313412,0.0166771502677427,-1.3047239415614116,0.1919868660316903,hybrid_arima_mlp,
CNYPHP_RET,coefs_L1_mean,0.0329803163135283,0.0149979485015828,2.19898850233068,0.0278787398590416,hybrid_arima_mlp,
