Pair,Model_A,Model_B,Loss,Set,DM_stat_full,p_value_full,n_obs_full,A_better_than_B_5pct_full,DM_stat_trim,p_value_trim,n_obs_trim,A_better_than_B_5pct_trim,same_significance
CNYPHP_RET,hybrid_arimax_mlp,baseline_ar1,mse,test,-2.4189990106020693,0.015985355052528183,423,True,-3.2381386066448203,0.0012997907508194295,416,True,True
CNYPHP_RET,hybrid_arimax_mlp,baseline_mean,mse,test,-2.457296874151987,0.014400061093861272,423,True,-2.908358245672799,0.003828462681523259,416,True,True
CNYPHP_RET,hybrid_arimax_mlp,baseline_rw,mse,test,-2.453042599971816,0.014569010854911024,423,True,-2.9061207045163546,0.003855388829325568,416,True,True
CNYPHP_RET,hybrid_arimax_svr,baseline_ar1,mse,test,-1.886666652416802,0.05989142651760315,423,False,-1.3343812065529492,0.18281065141513198,416,False,True
CNYPHP_RET,hybrid_arimax_svr,baseline_mean,mse,test,-2.143520766215362,0.03264231014434271,423,True,-1.966497185992884,0.04990721029517231,416,True,True
CNYPHP_RET,hybrid_arimax_svr,baseline_rw,mse,test,-2.140771455324489,0.032864894277229606,423,True,-1.9706025006721846,0.04943359520468871,416,True,True
CNYPHP_RET,hybrid_var_mlp,baseline_ar1,mse,test,-1.6096842233966766,0.10821456326178458,423,False,-0.8693941885794987,0.38513409937296506,416,False,True
CNYPHP_RET,hybrid_var_mlp,baseline_mean,mse,test,-1.942978705005428,0.052683408471793314,423,False,-1.509186204175777,0.13201214240994408,416,False,True
CNYPHP_RET,hybrid_var_mlp,baseline_rw,mse,test,-1.9402217917448166,0.05301853254613742,423,False,-1.513750704158204,0.13085026688739343,416,False,True
CNYPHP_RET,hybrid_var_svr,baseline_ar1,mse,test,-0.9092808838910471,0.36372089240166705,423,False,0.677278204519628,0.4986068258658425,416,False,True
CNYPHP_RET,hybrid_var_svr,baseline_mean,mse,test,-1.4823777628847175,0.1389861636566898,423,False,-0.5271350501122336,0.5983814749960308,416,False,True
