Date,Actual,Forecast,Set,Pair,Model,Error,SE,AE,abs_error,cum_abs_error
2024-08-30,-0.2386998531274695,-0.0224211543812971,test,USDPHP_RET,hybrid_arima_mlp,-0.2162786987461724,0.04677647553133759,0.2162786987461724,0.2162786987461724,5.4562508807641175
2024-09-02,0.2689459833616444,0.0115932295928453,test,USDPHP_RET,hybrid_arima_mlp,0.25735275376879907,0.06623043987238413,0.25735275376879907,0.25735275376879907,5.713603634532916
2024-09-03,0.418893489748446,-0.0375474826292609,test,USDPHP_RET,hybrid_arima_mlp,0.45644097237770687,0.20833836126510658,0.45644097237770687,0.45644097237770687,6.170044606910623
2024-09-04,-0.0761918806801113,-0.0732721589658645,test,USDPHP_RET,hybrid_arima_mlp,-0.0029197217142468007,8.524774888644277e-06,0.0029197217142468007,0.0029197217142468007,6.17296432862487
2024-09-05,-0.0372315691888428,-0.0184332240581376,test,USDPHP_RET,hybrid_arima_mlp,-0.0187983451307052,0.00035337777965310796,0.0187983451307052,0.0187983451307052,6.1917626737555755
2024-09-06,-0.8905888372902404,-0.0099620623366192,test,USDPHP_RET,hybrid_arima_mlp,-0.8806267749536212,0.7755035167652158,0.8806267749536212,0.8806267749536212,7.072389448709196
2024-09-09,0.5032627937590031,0.2405929798936144,test,USDPHP_RET,hybrid_arima_mlp,0.2626698138653887,0.06899543111607793,0.2626698138653887,0.2626698138653887,7.335059262574585
2024-09-10,-0.1122119793998061,-0.044139169563694,test,USDPHP_RET,hybrid_arima_mlp,-0.0680728098361121,0.004633907438983479,0.0680728098361121,0.0680728098361121,7.403132072410697
2024-09-11,-0.1658747813392249,-0.0078652962634972,test,USDPHP_RET,hybrid_arima_mlp,-0.1580094850757277,0.024966997373896616,0.1580094850757277,0.1580094850757277,7.561141557486425
2024-09-12,-0.1232488488497707,0.0073061232275633,test,USDPHP_RET,hybrid_arima_mlp,-0.13055497207733402,0.017044600734113464,0.13055497207733402,0.13055497207733402,7.6916965295637585
2024-09-13,0.1964121839421111,0.0066397784924747,test,USDPHP_RET,hybrid_arima_mlp,0.1897724054496364,0.036013565870141186,0.1897724054496364,0.1897724054496364,7.8814689350133955
2024-09-16,-0.1070879498299987,-0.0300094767283509,test,USDPHP_RET,hybrid_arima_mlp,-0.0770784731016478,0.005941091015681443,0.0770784731016478,0.0770784731016478,7.958547408115043
2024-09-17,-0.5658872187886491,-0.0050915925059388,test,USDPHP_RET,hybrid_arima_mlp,-0.5607956262827103,0.31449173445781725,0.5607956262827103,0.5607956262827103,8.519343034397753
2024-09-18,0.064635227215113,0.1327022848665702,test,USDPHP_RET,hybrid_arima_mlp,-0.06806705765145721,0.004633124337326799,0.06806705765145721,0.06806705765145721,8.587410092049211
2024-09-19,-0.1113330816789477,-0.002070013469072,test,USDPHP_RET,hybrid_arima_mlp,-0.1092630682098757,0.011938418074635951,0.1092630682098757,0.1092630682098757,8.696673160259087
2024-09-20,-0.3762136967974776,0.0027668503303383,test,USDPHP_RET,hybrid_arima_mlp,-0.3789805471278159,0.1436262551012987,0.3789805471278159,0.3789805471278159,9.075653707386902
2024-09-23,0.3258940252897719,0.0723927063443709,test,USDPHP_RET,hybrid_arima_mlp,0.253501318945401,0.06426291870705793,0.253501318945401,0.253501318945401,9.329155026332304
