Date,Pair,rolling_vol_252,rolling_autocorr_l1,rolling_lb_pvalue_l1,rolling_arch_pvalue
2019-06-24,USDPHP_RET,0.38289049675850056,-0.2820679275942951,6.73140180455815e-06,0.5829540269577179
2019-06-25,USDPHP_RET,0.38295432039585015,-0.28386782351249557,5.991184166806395e-06,0.5642302582438025
2019-06-26,USDPHP_RET,0.38264335955839957,-0.28185545735282064,6.903411957354544e-06,0.5278269172471766
2019-06-27,USDPHP_RET,0.3824900100349168,-0.2808914822396387,7.331854716864685e-06,0.5167952245458797
2019-06-28,USDPHP_RET,0.382718180216063,-0.28233675032784605,7.320612541982368e-06,0.5169315694322433
2019-07-01,USDPHP_RET,0.38148699431637306,-0.28012508958850385,8.214155269729155e-06,0.5230332216951059
2019-07-02,USDPHP_RET,0.3812178131247533,-0.2862150969550131,5.1719392959329495e-06,0.5389264357778178
2019-07-03,USDPHP_RET,0.3804850841702936,-0.28214218461758134,7.0670323185214385e-06,0.5139326755727782
2019-07-04,USDPHP_RET,0.3794275278088658,-0.2796737745844239,8.203869830989403e-06,0.5439558158020665
2019-07-05,USDPHP_RET,0.37899534449855504,-0.28078320171470456,7.349827635744508e-06,0.5085101192872296
2019-07-08,USDPHP_RET,0.3800816931432764,-0.2809382867602916,7.763753457073583e-06,0.4691276670035046
2019-07-09,USDPHP_RET,0.3799634785760838,-0.2784658210208195,1.0574967365531708e-05,0.49877728602779814
2019-07-10,USDPHP_RET,0.3764857489333417,-0.2696529093993556,1.8006382152771118e-05,0.511244815124821
2019-07-11,USDPHP_RET,0.37515731061723895,-0.26808452064361465,1.8994393138486512e-05,0.5141703212617826
2019-07-12,USDPHP_RET,0.3751730976678831,-0.26473641728395253,2.5565039836081374e-05,0.5151872609128626
2019-07-15,USDPHP_RET,0.3739393011031847,-0.26744517512630295,1.973456405753817e-05,0.521864231049216
2019-07-16,USDPHP_RET,0.3740697707685582,-0.2650313971482321,2.4378233511745435e-05,0.5157607785444754
2019-07-17,USDPHP_RET,0.3737320237607707,-0.262418376448194,2.8429265118842236e-05,0.5049166485016015
2019-07-18,USDPHP_RET,0.37389372621837214,-0.2647684511687253,2.4703327602757758e-05,0.5026304585453654
2019-07-19,USDPHP_RET,0.37313002200626655,-0.2671141509030516,2.008664954868953e-05,0.5017082335486046
2019-07-22,USDPHP_RET,0.3736339758411489,-0.2670082941043968,2.0768552674565315e-05,0.5098046223505107
