response,shock,step,irf
JPYPHP_RET,SGDPHP_RET,6,0.000937478421077993
JPYPHP_RET,SGDPHP_RET,7,-0.0002692368817938126
JPYPHP_RET,SGDPHP_RET,8,7.773509413033796e-05
JPYPHP_RET,SGDPHP_RET,9,-2.2509345615978996e-05
JPYPHP_RET,SGDPHP_RET,10,6.526298217808929e-06
HKDPHP_RET,USDPHP_RET,0,0.0
HKDPHP_RET,USDPHP_RET,1,-0.074739144881171
HKDPHP_RET,USDPHP_RET,2,-0.022676267364856582
HKDPHP_RET,USDPHP_RET,3,0.0016262914643234928
HKDPHP_RET,USDPHP_RET,4,0.00015027439638030208
HKDPHP_RET,USDPHP_RET,5,-0.00015272019708156503
HKDPHP_RET,USDPHP_RET,6,5.9785798298068855e-05
HKDPHP_RET,USDPHP_RET,7,-1.900414060595559e-05
HKDPHP_RET,USDPHP_RET,8,5.63840526806209e-06
HKDPHP_RET,USDPHP_RET,9,-1.6352046140583733e-06
HKDPHP_RET,USDPHP_RET,10,4.7185687237390605e-07
HKDPHP_RET,CNYPHP_RET,0,0.0
HKDPHP_RET,CNYPHP_RET,1,0.16860128968620902
HKDPHP_RET,CNYPHP_RET,2,-0.06589163623703566
HKDPHP_RET,CNYPHP_RET,3,0.019527165623485398
HKDPHP_RET,CNYPHP_RET,4,-0.005443198418969064
HKDPHP_RET,CNYPHP_RET,5,0.0015178449791690804
HKDPHP_RET,CNYPHP_RET,6,-0.000429240808919893
HKDPHP_RET,CNYPHP_RET,7,0.00012292728493486623
HKDPHP_RET,CNYPHP_RET,8,-3.547335561405701e-05
HKDPHP_RET,CNYPHP_RET,9,1.0273833123168657e-05
HKDPHP_RET,CNYPHP_RET,10,-2.9796161672196646e-06
HKDPHP_RET,JPYPHP_RET,0,0.0
HKDPHP_RET,JPYPHP_RET,1,0.015429899238477804
HKDPHP_RET,JPYPHP_RET,2,-0.018109597853190166
HKDPHP_RET,JPYPHP_RET,3,0.007160116391765978
HKDPHP_RET,JPYPHP_RET,4,-0.002276301563459959
HKDPHP_RET,JPYPHP_RET,5,0.0006771285821718765
HKDPHP_RET,JPYPHP_RET,6,-0.00019665257623160381
HKDPHP_RET,JPYPHP_RET,7,5.678632705097919e-05
HKDPHP_RET,JPYPHP_RET,8,-1.6403921795092556e-05
HKDPHP_RET,JPYPHP_RET,9,4.746177646200385e-06
HKDPHP_RET,JPYPHP_RET,10,-1.3749896034398645e-06
HKDPHP_RET,HKDPHP_RET,0,1.0
HKDPHP_RET,HKDPHP_RET,1,-0.1316248992130499
HKDPHP_RET,HKDPHP_RET,2,0.08176991250665362
