Pair,Date,ar1,ma1,const,aic
JPYPHP_RET,1170,0.4892008944803463,-0.6649914690668136,-0.005857166780474825,470.1751748935102
JPYPHP_RET,1171,0.4941227596210753,-0.6686586626400733,-0.006538524204535324,470.4235757838944
JPYPHP_RET,1172,0.4949166139072777,-0.6678981563396096,-0.0058918556857672855,469.81622925017103
JPYPHP_RET,1173,0.5148141321257044,-0.6817526290313748,-0.00813172829220775,469.90701404675644
JPYPHP_RET,1174,0.48327182384932305,-0.6558452732244817,-0.006065927236505378,469.2165147062629
JPYPHP_RET,1175,0.46423411613607246,-0.6363292982513311,-0.004371781057323925,468.4081839561726
JPYPHP_RET,1176,0.4626541397674543,-0.636206263647573,-0.005656193009623477,468.56102527180167
JPYPHP_RET,1177,0.5170593596042949,-0.6873984406207925,-0.006866440564267104,467.27810276399447
JPYPHP_RET,1178,0.514514539662386,-0.6843405836671155,-0.006303005609518328,467.2966906349859
JPYPHP_RET,1179,0.5213330423627259,-0.6827475794578309,-0.005135058556113886,466.82167674200673
JPYPHP_RET,1180,0.5165877853012971,-0.6957390958243794,-0.00965336061455639,457.1125552972297
JPYPHP_RET,1181,0.5859136073715505,-0.7563424984882581,-0.013135120491980387,452.6118546838416
JPYPHP_RET,1182,0.5734034806135548,-0.7442556432303865,-0.011501883886604532,452.979872424079
JPYPHP_RET,1183,0.5946725736816693,-0.7643961376019263,-0.013162504512002824,452.79894074881247
JPYPHP_RET,1184,0.6278308122238572,-0.7930976170732605,-0.015243271101301886,452.9310738444405
JPYPHP_RET,1185,0.6362906671411532,-0.7886454274284844,-0.013628256092465863,450.68123700447774
JPYPHP_RET,1186,0.6244858906710196,-0.7886717763484207,-0.015946012754396836,447.74030820001946
JPYPHP_RET,1187,0.6028741635384989,-0.7763062323567826,-0.017131029372755874,446.93284281545687
JPYPHP_RET,1188,0.5423203897017431,-0.7336159089790252,-0.02004076180007096,444.0511706295535
JPYPHP_RET,1189,0.5374976656443143,-0.7239054530070875,-0.023328220610795095,436.79165223455607
JPYPHP_RET,1190,0.5423592802899101,-0.7284971591741098,-0.02280495038585034,436.3355536602336
JPYPHP_RET,1191,0.566519262846424,-0.7429090212098193,-0.02603164641140745,437.59489957969186
JPYPHP_RET,1192,0.5083990231240189,-0.6983549364087229,-0.022880996139594007,434.90675727938776
JPYPHP_RET,1193,0.5312634906250248,-0.7145037567873296,-0.019964093015441896,433.6982081579677
JPYPHP_RET,1194,0.5223259298596594,-0.7085647546482875,-0.020795974683321918,433.3054968888441
JPYPHP_RET,1195,0.5757024204615006,-0.7492808778051702,-0.023006955466833085,430.07810144408836
JPYPHP_RET,1196,0.5911974915829683,-0.7587940891264823,-0.01917712699790932,429.4413465578699
JPYPHP_RET,1197,0.6160927357968349,-0.7759047500957944,-0.01788567535723015,431.07580073932814
JPYPHP_RET,1198,0.6100068312132826,-0.7710016474645252,-0.01859200032012783,430.7661141148767
JPYPHP_RET,1199,0.6119635462759592,-0.7736049469597648,-0.019090095337029066,430.8640887321677
JPYPHP_RET,1200,0.6502285483976475,-0.8021650266013548,-0.01742556703213018,430.38518391040543
