Pair,Lag,ACF,PACF,SqACF,sig_bound
HKDPHP_RET,26,-0.03528537691051273,-0.021153947077994145,0.004162029761641085,0.03013601946227691
HKDPHP_RET,27,0.011749552508321251,-0.0018652842068287282,-0.006509870778609197,0.03013601946227691
HKDPHP_RET,28,-0.01125544203860532,-0.013690926811107831,-0.0034571899867780107,0.03013601946227691
HKDPHP_RET,29,-0.00390653169794464,-0.008001484697491948,-0.004593222912726426,0.03013601946227691
HKDPHP_RET,30,0.04140478795068126,0.03268268932612404,-0.008075707277741203,0.03013601946227691
HKDPHP_RET,31,-0.030825388222390452,-0.00810690213996983,-0.011022848715452532,0.03013601946227691
HKDPHP_RET,32,0.001557763774031593,-0.005091812926335751,0.011253838709170282,0.03013601946227691
HKDPHP_RET,33,-0.012308856730789988,-0.018285900670661465,0.014101867358126944,0.03013601946227691
HKDPHP_RET,34,-0.03519386617571707,-0.04330535935186504,0.015664045123649866,0.03013601946227691
HKDPHP_RET,35,0.003089855128361961,-0.02833880730251485,0.022913273261399004,0.03013601946227691
HKDPHP_RET,36,-0.010430896782414352,-0.016807081761387795,0.012546790132939084,0.03013601946227691
HKDPHP_RET,37,0.014813967022496197,0.006747815939013923,-0.005691873332222434,0.03013601946227691
HKDPHP_RET,38,-0.007149401964095167,-0.002449030327077436,-0.008430820147946582,0.03013601946227691
HKDPHP_RET,39,-0.002991835586076902,-0.001805440898636909,0.02062384161348704,0.03013601946227691
HKDPHP_RET,40,0.025230248362667716,0.01822539918926737,0.03653615536843551,0.03013601946227691
SGDPHP_RET,1,-0.3061968819703457,-0.306269286056884,0.36434139930593534,0.03013601946227691
SGDPHP_RET,2,-0.008704947426393918,-0.11312076783931829,0.07472710262144076,0.03013601946227691
SGDPHP_RET,3,0.0369687437443907,-0.0006924678000136973,0.08983186642577383,0.03013601946227691
SGDPHP_RET,4,-0.04092387474177,-0.033027949819807556,0.06696325430525288,0.03013601946227691
SGDPHP_RET,5,0.01970989361570426,-0.00013775638446586277,0.029203010432837125,0.03013601946227691
SGDPHP_RET,6,0.00030345269430029115,0.0026287425586334107,0.03312734316131574,0.03013601946227691
SGDPHP_RET,7,-0.020030669173866998,-0.018034823971372828,0.03244160019478068,0.03013601946227691
SGDPHP_RET,8,-0.00170678947021672,-0.01692953302491153,0.015005292182901522,0.03013601946227691
SGDPHP_RET,9,-0.048153233230474775,-0.06245323589560398,-0.004212789418142984,0.03013601946227691
SGDPHP_RET,10,0.06678836598061974,0.035388199135255344,0.014004639158074103,0.03013601946227691
SGDPHP_RET,11,-0.028378552555572013,-0.0017142869018057364,0.014122815315037006,0.03013601946227691
SGDPHP_RET,12,0.0032173875502814362,0.001758271153946408,0.008016967826366891,0.03013601946227691
SGDPHP_RET,13,-0.025939316733975405,-0.03528398292385775,0.003906705483564969,0.03013601946227691
SGDPHP_RET,14,-0.010374279960381653,-0.029221396035939644,0.01435731934356149,0.03013601946227691
SGDPHP_RET,15,0.024922735002334658,0.007979998295840656,0.013888744197186298,0.03013601946227691
SGDPHP_RET,16,-0.008227704994293344,-9.208788866750828e-05,0.012829833447715218,0.03013601946227691
SGDPHP_RET,17,-0.007661991224349065,-0.00926331094994205,0.025775272563949084,0.03013601946227691
SGDPHP_RET,18,0.0049845747291374235,-0.003708574370836022,0.005638754625913835,0.03013601946227691
SGDPHP_RET,19,-0.010820943841109936,-0.0066188815070352125,-0.007068038530393888,0.03013601946227691
SGDPHP_RET,20,0.04942256022316159,0.0437187091668948,0.007070183858518882,0.03013601946227691
SGDPHP_RET,21,-0.032604271799709324,-0.005943446751996375,-0.0030744188597975424,0.03013601946227691
SGDPHP_RET,22,0.006643457459780942,-0.0029163858229832172,0.009898941619550445,0.03013601946227691
SGDPHP_RET,23,-0.011781889126889258,-0.015024716116466956,0.014193796351653229,0.03013601946227691
SGDPHP_RET,24,-0.004609638615304422,-0.008575166650182648,0.0640564648517575,0.03013601946227691
SGDPHP_RET,25,0.033277576062808796,0.026277386677765666,0.05948014914455484,0.03013601946227691
SGDPHP_RET,26,-0.050286822670573855,-0.03699316835062507,0.01279364175090191,0.03013601946227691
SGDPHP_RET,27,0.018619558169271973,-0.004888333737840255,-0.0019603380642788672,0.03013601946227691
SGDPHP_RET,28,-0.022137237459913778,-0.026166293920071762,-0.00011125352629421478,0.03013601946227691
SGDPHP_RET,29,0.012106608794635897,0.005855603549852687,-0.005497343758628736,0.03013601946227691
SGDPHP_RET,30,0.03562078218182674,0.032402636618642594,-0.007950752338068898,0.03013601946227691
SGDPHP_RET,31,-0.021310353513173994,0.005746045269320969,0.012492258172562404,0.03013601946227691
SGDPHP_RET,32,0.010075817915533547,0.008596160352452932,0.018304903808600347,0.03013601946227691
SGDPHP_RET,33,-0.01763142030827439,-0.013412403571846301,0.023360908137333086,0.03013601946227691
SGDPHP_RET,34,-0.013685783698763556,-0.022362671840156997,0.033432456393778676,0.03013601946227691
SGDPHP_RET,35,0.0281239412678964,0.005422870146548209,0.025084784608699204,0.03013601946227691
