Date,USDIDR,CNYIDR,INRIDR,JPYIDR,SGDIDR,REF_RATE,TARGET_RATE,USDIDR_RET,CNYIDR_RET,INRIDR_RET,JPYIDR_RET,SGDIDR_RET,IR_DIFF_LAGGED
2025-05-13,16688.80078125,2317.3097119570602,196.41809726179136,112.52647195720337,12786.393677267788,4.33,0.0,0.8774830935892072,1.3553879157653836,1.3970518766136082,-0.8211733920101407,0.30043468816298347,-4.33
2025-05-14,16599.400390625,2303.6485800698915,195.14861641700654,112.51694867659006,12759.935901707546,4.33,0.0,-0.537130889734091,-0.5912700709799286,-0.6484132834940228,-0.008463505035763439,-0.20713570564609265,-4.33
2025-05-15,16558.19921875,2297.9307216621464,193.69123458917696,112.90964819567543,12730.222083973127,4.33,0.0,-0.24851734483527874,-0.24851734483528984,-0.74960868769109,0.34840601931766296,-0.23313963930710677,-4.33
2025-05-16,16511.80078125,2291.2371690674718,193.24501148897346,113.39509545008045,12734.494791822292,4.33,0.0,-0.28060760777349214,-0.29171115551397114,-0.2306443516418902,0.42902149656889627,0.03355786683278115,-4.33
2025-05-19,16487.0,2287.0023230680504,192.8297382948318,113.47024411247342,12699.696131744893,4.33,0.0,-0.1503132558300824,-0.18499893745162838,-0.21512588146635148,0.06624957808579503,-0.27363702580930416,-4.33
2025-05-20,16428.0,2278.8181090169182,192.42820359660308,113.31608421019837,12685.322349357482,4.33,0.0,-0.358499548472938,-0.358499548472938,-0.20844987213029317,-0.13595169264349394,-0.11324619624975346,-4.33
2025-05-21,16403.0,2272.0724937267914,191.7669797887648,113.65084853277624,12670.126778673415,4.33,0.0,-0.15229511639634513,-0.2964527526254427,-0.34421278001117667,0.29498972496923315,-0.1198604089130241,-4.33
2025-05-22,16347.599609375,2269.9009424252517,190.9759534993618,113.71847277735745,12677.47160415305,4.33,0.0,-0.33831712474154024,-0.0956214957013021,-0.41334658166840377,0.05948405544383138,0.05795283303979597,-4.33
2025-05-23,16356.900390625,2270.6248513462474,190.25204478661718,113.70170721343658,12659.747772391485,4.33,0.0,0.05687768656140659,0.03188656820856486,-0.3797777634822374,-0.014744130403834228,-0.13990354970740881,-4.33
2025-05-26,16211.0,2250.371316454996,190.27151034503325,113.46916713696095,12618.411449866655,4.33,0.0,-0.8959826389111293,-0.8959826389111293,0.010230934811029737,-0.20472708780239784,-0.32705197405275693,-4.33
