Date,USDTHB_RET,CNYTHB_RET,JPYTHB_RET,INRTHB_RET,MYRTHB_RET
2010-02-12,0.3808270783768834,0.34784239633210523,0.1735120844296979,0,0.4613265525510983
2010-02-15,0.019974486987899803,0.001638523843449674,-0.1461489888082706,0,0.07537052878555618
2010-02-16,-0.19667120925421577,-0.21788075883378166,-0.38589907611346924,0,-0.12336141890941588
2010-02-17,0.33831935583809924,0.3319897635873155,-0.5913200081130656,0,0.936357471539783
2010-02-18,0.8543707985966843,0.8771716407873686,-0.5105239461359017,0,0.28017864882573584
2010-02-19,-1.1845806684550904,-1.0958329057798604,-1.157931409613075,0,-0.35532890835783915
2010-02-22,-0.15036289964695093,-0.10944034215729892,0.2870986379858704,0,0.06144445429870894
2010-02-23,0.14278943525713583,0.1451274714064244,1.3989838602074862,0,-0.10941135220760595
2010-02-24,0.0016046316588803691,0.02579844571990833,0.3520135957935969,0,-0.17887011314140522
2010-02-25,-0.8453632752270691,-0.8384217393900996,0.6530640607841235,0,-0.15135634912372578
2010-02-26,0.6377933139920977,0.6046113677560885,1.334066754722856,0,-0.03244714767586476
2010-03-01,-1.1153657822417802,-1.1081440668264813,-1.14753859056955,0,-0.2244420846159024
2010-03-02,-0.8398002048546569,-0.8716111180565562,-0.4298203171280905,0,1.5456778114455934
2010-03-03,0.042456226801722396,0.01325921873842495,0.6108990990917126,0,-1.0053636173135359
2010-03-04,-0.26859380839550795,-0.30854471621417956,-1.0434395096792775,0,-0.4784890775033525
2010-03-05,-0.33523205943070744,-0.36453298234189985,-1.6293495571167704,0,0.22279865863174705
2010-03-08,0.47447489750202726,0.42894687983577284,0.07529809501538295,0,1.0119875149585298
2010-03-09,0.11144956998276312,0.10535778283684051,0.14027576825326793,0,-0.10143316888507398
2010-03-10,-0.060952676609183146,-0.04669812209480706,-0.6380063947612772,0,0.7238390612163782
2010-03-11,0.018474485680036457,0.023335014284151148,-0.29646974675754106,0,0.4540452613023457
2010-03-12,-0.318363631205271,-0.29951764668692366,-0.08182588401608128,0,0.21554559965055775
2010-03-15,-0.3823804467506629,-0.3888762904880678,-0.06581701637576345,0,-0.5450035001834166
2010-03-16,0.07455844215177768,0.06146168363531759,0.12449234834147227,0,0.2719856071921579
2010-03-17,-0.5815920050098604,-0.612819211494242,-0.5746078025163635,0,-0.39710685380632316
2010-03-18,-0.4952559828976186,-0.5298853122163228,-0.48610778809860633,0,-0.4698028197042766
2010-03-19,-0.07569072262187705,-0.09958524949719322,-0.0911451322090527,0,-0.1897336505144685
2010-03-22,0.05129652850884697,0.029058232926945128,0.20200331826421353,0,-0.3727606038907243
2010-03-23,0.28514973835560237,0.2690267597479017,0.31829997064014026,0,-0.15810618960815942
2010-03-24,0.2521897949621509,0.24014120386366905,-1.5971378502002351,0,0.2134207333039459
2010-03-25,0.32134820864347147,0.3267419462809613,-0.7482948599571375,0,0.15084312874741776
2010-03-26,-0.36540024299688223,-0.347749155510468,-0.7003070805704974,0,0.33326554686044507
2010-03-29,-0.27819033768450363,-0.26342304937716093,-0.4360621507589444,0,1.2008591692807948
2010-03-30,-0.1591251545028715,-0.15314612759608204,-0.5948355081513197,0,0.4354455961999367
2010-03-31,0.1707130449077684,0.16723787064652146,-0.38472860795254293,0,0.5094848206054274
2010-04-01,-0.24187715749391603,-0.25235047965333396,-0.7354310753926274,0,0.2607890659020606
2010-04-02,-1.0905074484075086,-1.1037705619979308,-2.0113352201070955,0,0.6900350418637058
2010-04-05,-0.31620222099383555,-0.34176180347654145,-0.27865872552344445,0,-2.1439509128225045
2010-04-06,0.9426770556727995,0.9142948288615949,1.5698322325394676,0,-0.6984753643664935
